"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "encodingImgTargetFile", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\SkeletonGrid.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\SkeletonLoader.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 1, 5, 43
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\Tasks.jsx", "JavaScript JSX", 0, 0, 109, 0, 0, 0, 0, 1, 6, 116
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\User.module.css", "CSS", 0, 0, 0, 0, 0, 734, 0, 40, 120, 894
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\Categories.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\Header.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 1, 5, 74
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\Modal.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\ModalProject.jsx", "JavaScript JSX", 0, 0, 312, 0, 0, 0, 0, 20, 14, 346
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\ProjectGridContainer.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\TableDisplay.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\TableHeaderNav.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 9, 7, 78
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\general.module.css", "CSS", 0, 0, 0, 0, 0, 578, 0, 29, 98, 705
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\project\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\FileInputContainer.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\Header.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 1, 6, 75
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\ReportModal.jsx", "JavaScript JSX", 0, 0, 220, 0, 0, 0, 0, 9, 20, 249
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\ReportsTableContents.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\changes.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\reports\general.module.css", "CSS", 0, 0, 0, 0, 0, 418, 0, 7, 64, 489
